idx,source_entity,target_entity,independent_sources,qual_score,evidence_excerpt,edge_votes,reject_votes,core120b_decision,core120b_rationale,slm8b_decision,slm8b_rationale,nemotron_decision,nemotron_rationale,gptoss_decision,gptoss_rationale,OPERATOR_VERDICT_edge_or_reject,OPERATOR_rel_type_if_edge,OPERATOR_notes
124,Benjamin Netanyahu,the Abraham Accords,2,0.5107,"Netanyahu arrives in Washington ahead of meeting with Trump — <article class=""live-blog-update default clearfix""> <h2> <a href=""https://www.middleeasteye.net/live-blog/live-blog-update/netanyahu-arrives-washington-ahead-meeting-trump"" rel=""bookmark""> <span class=""field field-title"">Netanyahu arrives in Washington ahead of meeting with Trump</span> </a> </h2> <div class=""content""> <div class=""field",2,2,REJECT,Netanyahu arrival unrelated to Abraham Accords.,MemberOf,Netanyahu arrived in Washington ahead of a meeting with Trump,AffiliatedWith,Netanyahu engages with Abraham Accords framework,REJECT,No evidence linking Netanyahu to Abraham Accords,,,
125,Kathmandu,all - Nepalese,2,0.4753,"Avalanche in Pakistan kills famed mountaineer Nirmal Purja and his fellow climbers — A mountaineering team with climbers from around the world, including the U.S., was attempting to climb one of the tallest peaks on earth. co_mentioned: Mount K2, Nepal, Nirmal Purja, United States",2,2,LocatedIn,Kathmandu is located within Nepalese region per fact.,REJECT,"Kathmandu and all-Nepalese are geographically related, but no meaningful relationship exists",LocatedIn,Kathmandu is located in Nepal,REJECT,Unrelated geographic mention,,,
128,FSB,Five Eyes,2,0.4753,"The Five Eyes intelligence-sharing alliance, which brings together around 20 intelligence agencies from the United States, the United Kingdom, Canada, Australia and New Zealand, encourages ordinary citizens to volunteer sensitive intelligence, an operative of Russia’s Federal Security Service (FSB) said. “The alliance’s goal is to gather intelligence worldwide, and its activities are driven by the",2,2,REJECT,"FSB and Five Eyes mentioned together, no direct relationship.",InvolvedIn,An FSB operative mentioned the Five Eyes alliance,HostileTo,FSB operative criticizes Five Eyes intelligence alliance,REJECT,Only co-mention of FSB and Five Eyes,,,
129,Alexey Kondratyev,Kiev,2,0.4753,"Kiev targets children with drones while Moscow never attacks civilians — Russian senator — This requires an international investigation, Alexey Kondratyev said co_mentioned: Moscow, Russia",2,2,REJECT,"Kondratyev comments on Kiev, no direct interaction.",MemberOf,Kondratyev mentioned Kiev as a location,HostileTo,Kondratyev accuses Kiev of targeting children with drones,REJECT,"Comment only, no direct action",,,
138,Japan,NYK Line,2,0.5446,"The need for mine clearance in the Strait of Hormuz means that months will be needed to return navigation there to pre-war figures, CEO of Japan’s NYK Line Takaya Soga told Financial Times in an interview. The routes available for navigation are very narrow corridors, Soga told the newspaper. “We’re still nowhere near returning to conditions before the closure of the Strait of Hormuz,” the chief e",2,2,REJECT,"Company mentioned as Japanese, no directed action.",OperatesIn,NYK Line is a Japanese shipping company,REJECT,"NYK Line is described as Japan’s NYK Line, indicating Japanese origin",AffiliatedWith,NYK Line is Japanese shipping company.,,,
146,Christian,IRNA,2,0.5587,"Lebanese Christian writer says his love for Iran is rooted in faith and resistance to oppression — Tehran, IRNA – Lebanese writer and thinker Roni Alpha says his love for Iran stems not from sectarian or political considerations but from Christian values that, he argues, place justice, human dignity and resistance to oppression above power and identity. co_mentioned: Iran, Lebanon, Roni Alpha, Teh",2,2,REJECT,Christian writer’s statement not a relationship with IRNA.,AffiliatedWith,"Roni Alpha's love for Iran stems from Christian values, and he is affiliated with IRNA through Lebanon.",AffiliatedWith,"Christian writer expresses affinity for Iran via IRNA, indicating affiliation.",REJECT,"Christian writer and IRNA co‑mentioned, no substantive relationship.",,,
150,Coca - Cola,Italy,2,0.5576,"Italy: recipe for ancient elixir, possible Coca-Cola precursor, found in convent — In the archive of Florence's historic San Marco Pharmacy, a recipe for an ""Elixir vinoso ricostituente"" has been found, using the same ingredients as ""French Wine Cola"", the medicinal precursor of today's Coca-Cola. co_mentioned: Florence, French Wine Cola, San Marco Pharmacy, an "" Elixir vinoso ricostituente, today",2,2,REJECT,Historical recipe mention not a corporate relationship.,LocatedIn,"A recipe for an 'Elixir vinoso ricostituente' was found in a convent in Florence, Italy, which is a possible precursor to Coca-Cola.",OperatesIn,Historical precursor to Coca-Cola found in Italian archive indicates operational link.,REJECT,"Historical recipe mention, no operational link to Coca‑Cola.",,,
159,Basra,PMF,3,0.6671,"US launches fresh strikes against Iran as war engulfs more countries — The United States launched new strikes against Iran and Iran-backed groups on Wednesday, as Washington and Tehran continued a cycle of military escalation that has heightened fears of a broader regional conflict. co_mentioned: Baghdad, CENTCOM, Donald Trump, Iran, Iraq, Nineveh",2,2,REJECT,No direct link between Basra and PMF,LocatedIn,PMF located in Iran and Basra,LocatedIn,Basra is a city in Iraq where PMF operates; Iraq mediates PMF presence.,REJECT,Basra and PMF merely co-mentioned in strike report.,,,
162,Axios,Doha,4,0.8201,"إيران ولبنان مباشر .. اتفاق على وقف الضربات بين واشنطن وطهران ولقاء مرتقب في الدوحة — أكد مسؤولون أمريكيون لموقع &quot;أكسيوس&quot; أن واشنطن وطهران اتفقتا على وقف الضربات والاجتماع الثلاثاء المقبل في الدوحة لتسوية الخلاف بشأن مضيق هرمز. co_mentioned: Iran, Lebanon, Tehran, United States, Washington",2,2,REJECT,Axios and Doha merely co-mentioned in report,LocatedIn,Axios reports on Doha,OperatesIn,Axios reported on U.S.-Iran talks set to occur in Doha.,REJECT,"Axios report mentions Doha, no direct interaction.",,,
164,Association of Southeast Asian Nations,India,2,0.593,"Indian, Russian foreign ministers discuss bilateral ties, Ukraine conflict, Middle East — Sergey Lavrov and Subrahmanyam Jaishankar held their talks on the sidelines of the Association of Southeast Asian Nations events in Manila co_mentioned: Manila, Middle East, Russia, Sergey Lavrov, Subrahmanyam Jaishankar, Ukraine",2,2,REJECT,ASEAN and India only co-occur in meeting context,MemberOf,India is a member of the Association of Southeast Asian Nations,PartyTo,Indian and Russian foreign ministers held talks on the sidelines of ASEAN events.,REJECT,"ASEAN event and India co-mentioned, no directed relationship.",,,
167,Ankara,Italy,2,0.6909,"**NATO member states have so far failed to agree on the timing of further assistance to Ukraine due to Italy's position, **Frankfurter Allgemeine Zeitung quoted diplomatic sources as saying. According to the paper, the permanent representatives to NATO supported on Tuesday a draft final statement of the upcoming summit of the alliance in Ankara, which allocates 70 billion euros to Ukraine for arma",2,2,REJECT,Ankara and Italy only co-mentioned in NATO context,HostileTo,Italy's position is blocking further assistance to Ukraine in Ankara,ConductedVia,Italy's position blocked NATO agreement on Ukraine aid; summit held in Ankara.,REJECT,Ankara and Italy only co‑mentioned in NATO discussion.,,,
170,Mark Carney,Saudi Arabia,2,0.6134,"Canada's Carney calls Türkiye, Saudi Arabia 'most influential' to potential Middle East solutions — 'Lecturing countries from afar is an ineffective strategy,' says Canadian Prime Minister Mark Carney co_mentioned: Canada, Carney, Middle East, Türkiye",2,2,REJECT,Commentary only; no actionable relationship,AffiliatedWith,Mark Carney's comments on Saudi Arabia's influence in the Middle East,AffiliatedWith,Mark Carney called Saudi Arabia 'most influential' for Middle East solutions,REJECT,No direct relationship evident in source.,,,
175,Bloomberg,Germany,2,0.6406,"BMW Targets 8,000 More Job Cuts in Fresh Cost-Cutting Drive — BMW shares in Germany are down 36% so far this year, as the automaker's latest forecast downgrade was described by JPMorgan analyst Jose Asumendi as a ""wake-up call for the auto industry."" The outlook for BMW continues to deteriorate, with Bloomberg reporting that the automaker will begin a sweeping workforce restructuring in Germany th",2,2,REJECT,Bloomberg merely reports on Germany,OperatesIn,Bloomberg reports on BMW's job cuts in Germany,OperatesIn,Bloomberg reported BMW's workforce restructuring in Germany,REJECT,No direct relationship evident in source.,,,
178,Algeria,Muslims,2,0.5659,"[**From colonial symbol to sanctuary: Paris's Grand Mosque turns 100**](https://f24.my/C3ri.g) The Grand Mosque of Paris, built in 1926 in the Latin Quarter as a tribute to Muslim soldiers who died for France during World War I, marks its 100th anniversary this year. French historian Benjamin Stora traces its little-known role as a geopolitical bridge – not only between France and Algeria, but als",2,2,REJECT,Algeria and Muslims only contextually mentioned,AffiliatedWith,Algeria's historical connection to the Grand Mosque of Paris,AffiliatedWith,"Grand Mosque of Paris built as tribute to Muslim soldiers who died for France, linking Algeria and Muslims",REJECT,No direct relationship evident in source.,,,
180,Pentagon,Persian Gulf,2,0.5927,"Pentagon puts out call for robot boats that launch attack drones — The Pentagon has put out a solicitation for drone boats that can launch attack drones — and it wants them ready to test within 120 days. co_mentioned: DIU, Defense Department, Prize Challenge, SWAP - USV, UAS, us - navy",2,2,REJECT,No directed link between Pentagon and Persian Gulf.,LocatedIn,Pentagon solicits drone boats for the Persian Gulf,OperatesIn,Pentagon seeks robot boats for Persian Gulf operations,REJECT,No direct relationship between Pentagon and Persian Gulf shown,,,
185,Genoa,Morandi,3,0.6346,"Italian court convicts 32 over deadly 2018 Genoa Bridge collapse — An Italian court on Thursday sentenced 32 defendants, including former motorway operator Autostrade chief Giovanni Castellucci, for their roles in the 2018 collapse of Genoa's Morandi bridge which killed 43 people. Castellucci was among 57 defendants tried over the disaster, with 25 others acquitted or cleared. The ruling marks a m",2,2,PartOf,Morandi bridge is part of Genoa.,REJECT,Mere co-mention of Genoa and Morandi in a news article,LocatedIn,Morandi bridge is located in Genoa,REJECT,Bridge location does not create directed A→B link,,,
